Id,Title,Description,Event Type,Event Date,Reported By,Received Date,Latitude,Longitude,City,State,Airport,Region,Reporting Facility,Aircraft Type,Departure,Arrival,Diverted To,POB,Injury Type,Injuries Minor,Injuries Serious,Fatalities,Injuries Unknown,Uninjured,POB Unknown,Damage Type,MessageText,MessageText,,,,,,,
554944,"BIRD/WILDLIFE STRIKE | SWA1676 | SACRAMENTO, CA (SMF) 01-01-2019 1915Z",,BIRD/WILDLIFE STRIKE,1/1/2019 19:15,,,38.5815719,-121.4943996,SACRAMENTO,CA,SMF,AWP,MOR/SMF @ 1119 PST,B737,,SMF,,,Unknown,,,,,,0,Not Reported,"SACRAMENTO, CA (SMF)",", B737, SMFBIRD STRIKE ROLL OUT RWY 34L. TAXIED TO GATE WITHOUT FURTHER INCIDENT. NO FURTHER INFORMATION PROVIDED. 01/01/2019 1915Z",,,,,,,
554945,"GENERAL AVIATION OCCURRENCE | N49276 | PORTLAND, OR (HIO) 01-01-2019 1927Z",,GENERAL AVIATION OCCURRENCE,1/1/2019 19:27,,,45.54212189,-122.9507217,PORTLAND,OR,HIO,ANM,MOR/HIO @ 1133 PST,C152,,HIO,,,Unknown,,,,,,0,Not Reported,"PORTLAND, OR (HIO)","C152, HIOINCURRED A FLAT TIRE AFTER LANDING RWY 31L. 01/01/2019 1927Z",,,,,,,
554958,"GENERAL AVIATION OCCURRENCE | N898PA | CEDAR CITY, UT (CDC) 01-01-2019 1950Z",,GENERAL AVIATION OCCURRENCE,1/1/2019 19:50,,,37.70097351,-113.0988617,CEDAR CITY,UT,CDC,ANM,MOR/ZLC @ 1204PST,LJ60,,,,,Unknown,,,,,,0,Not Reported,"CEDAR CITY, UT (CDC)","LJ60, REPORTED ONE ENGINE OUT. REQUESTED TO DIVERT TO CDC AND HAVE EMERGENCY EQUIPMENT STANDING BY. 8 PEOPLE ON BOARD. COORDINATED EMERGENCY EQUIPMENT WITH CDC FBO 01/01/2019 1950Z",,,,,,,
554959,"GENERAL AVIATION OCCURRENCE | N748NP | FORT LAUDERDALE, FL (FLL) 01-01-2019 2153Z",,GENERAL AVIATION OCCURRENCE,1/1/2019 21:53,,,26.07166672,-80.14969635,FORT LAUDERDALE,FL,FLL,ASO,FLL,PA31,,,,,Unknown,,,,,,0,Not Reported,"FORT LAUDERDALE, FL (FLL)","PA31, ABORTED TAKEOFF DUE TO AN OPEN DOOR AND TAXIED BACK TO RUNWAY 10R FOR DEPARTURE. 01/01/2019 2153Z",,,,,,,
554960,"MEDICAL EMERGENCY - PASSENGER | SWA787 | BALTIMORE, MD (BWI) 01-01-2019 2217Z",,MEDICAL EMERGENCY - PASSENGER,1/1/2019 22:17,,,39.17572784,-76.66899109,BALTIMORE,MD,BWI,AEA,BWI,B738,DEN,BWI,,,Unknown,,,,,,0,Not Reported,"BALTIMORE, MD (BWI)","B738, DEN-BWI, LANDED SAFELY WITH A PASSENGER MEDICAL EMERGENCY AND TAXIED TO THE GATE WITHOUT INCIDENT. 01/01/2019 2217Z",,,,,,,
554888,"MEDICAL EMERGENCY - PASSENGER | AAL1632 | FORT WORTH, TX (DFW) 01-01-2019 0120Z",,MEDICAL EMERGENCY - PASSENGER,1/1/2019 1:20,,,32.7554883,-97.3307658,FORT WORTH,TX,DFW,ASW,DFW,A321,,,,,Unknown,,,,,,0,Not Reported,"FORT WORTH, TX (DFW)",", A321, DECLARED A MEDICAL EMERGENCY DUE TO A PASSENGER ACTING ERRATICALLY. AIRCRAFT CONTINUED AND LANDED WITHOUT FURTHER INCIDENT. PARAMEDICS MET THE AIRCRAFT AT THE GATE. 01/01/2019 0120Z",,,,,,,
554890,"AIR CARRIER OR TAXI OCCURRENCE | BTQ762 | DENVER, CO (DEN) 01-01-2019 0120Z",,AIR CARRIER OR TAXI OCCURRENCE,1/1/2019 1:20,,,39.86166763,-104.6731644,DENVER,CO,DEN,ANM,MOR/DEN @ 1806 PST,PC12,DEN,,,,Unknown,,,,,,0,Not Reported,"DENVER, CO (DEN)","PC12, DENABORTED TAKEOFF AFTER HE STARTED DEPARTURE ROLL DUE TO AN AVIONICS ALARM. 01/01/2019 0120Z",,,,,,,
554897,"BIRD/WILDLIFE STRIKE | ASA540 | LOS ANGELES, CA (LAX) 01-01-2019 0540Z",,BIRD/WILDLIFE STRIKE,1/1/2019 5:40,,,33.94249344,-118.4080505,LOS ANGELES,CA,LAX,AWP,MOR/LAX @ 2053 PST,B738,,,,,Unknown,,,,,,0,Not Reported,"LOS ANGELES, CA (LAX)","N551AS, B738, STRUCK BIRD(S) 1/3 DOWN RUNWAY, NO DAMAGE REPORTED, ACN, CITY OPS CLSD RWY TEMPORARILY AND REMOVED DEBRIS, CITY TO COMPLETE WILDLIFE REPORT. 01/01/2019 0540Z",,,,,,,
554899,"LASER EVENT | DAL861 | EL MONTE, CA (EMT) 01-01-2019 0513Z",,LASER EVENT,1/1/2019 5:13,,,34.08600998,-118.0348434,EL MONTE,CA,EMT,AWP,MOR/SCT @ 2131 PST,B757,,,,,Unknown,,,,,,0,Not Reported,"EL MONTE, CA (EMT)","B757, GREEN LASER OVER EMT180002, FROM 3 O'CLOCK WHILE HEADING 250, NO INJURIES, EL MONTE PD NOTIFIED. 01/01/2019 0513Z",,,,,,,
554904,"AIR CARRIER OR TAXI OCCURRENCE | ASA443 | SEATTLE, WA (SEA) 01-01-2019 0505Z",,AIR CARRIER OR TAXI OCCURRENCE,1/1/2019 5:05,,,47.44989014,-122.3117752,SEATTLE,WA,SEA,ANM,MOR/SEA @ 2130 PST,B737,,,,,Unknown,,,,,,0,Not Reported,"SEATTLE, WA (SEA)","B737, WAS ON FINAL TO RWY34L, HE REPORTED A FIREWORK MORTAR GOING OFF IN HIS PROXIMITY. AFTER LANDING, CAPT. LOWERY CLARIFIED THE REPORT SAYING THE FIREWORKS WERE OFF HIS RIGHT SIDE AND APPROXIMATELY 400","FEET WHEN HE WAS INSIDE OF A MILE FINAL. THE PILOT STATED THAT THE FIREWORK WAS CLOSE ENOUGH THAT THEY COULD FEEL IT IN THE COCKPIT. SEA OS NOTIFIED 911 AND THE PORT OF SEATTLE AIRPORT DUTY MANAGER. AFTER THAT REPORT, NO FURTHER REPORTS WERE RECEIVED AND NO FURTHER FIREWORKS WERE OBSERVED IN THAT SPECIFIC AREA. 01/01/2019 0505Z",,,,,,
554906,"AIR CARRIER OR TAXI OCCURRENCE | JBU2275 | FORT LAUDERDALE, FL (FLL) 01-01-2019 0424Z",,AIR CARRIER OR TAXI OCCURRENCE,1/1/2019 4:24,,,26.07166672,-80.14969635,FORT LAUDERDALE,FL,FLL,ASO,ZNY,A320,BDL,TJSJ,FLL,,Unknown,,,,,,0,Not Reported,"FORT LAUDERDALE, FL (FLL)",", A320, BDL-TJSJ, REPORTED AN ENGINE BLEED AIR ISSUE AND DIVERTED TO FLL. AIRCRAFT LANDED WITHOUT INCIDENT. 01/01/2019 0424Z",,,,,,,
554961,"BIRD/WILDLIFE STRIKE | DAL1778 | MEMPHIS, TN (MEM) 01-01-2019 2300Z",,BIRD/WILDLIFE STRIKE,1/1/2019 23:00,,,35.04241562,-89.97666931,MEMPHIS,TN,MEM,ASO,MEM,MD88,ATL,MEM,,,Unknown,,,,,,0,Not Reported,"MEMPHIS, TN (MEM)",", MD88, ATL-MEM, REPORTED A BIRD STRIKE LANDING RUNWAY 36L. AIRCRAFT TAXIED TO THE GATE WITHOUT INCIDENT. DAMAGE",,,,,,,
554975,"MEDICAL EMERGENCY - PASSENGER | HAL27 | HONOLULU, HI (HNL) 01-02-2019 0105Z",,MEDICAL EMERGENCY - PASSENGER,1/2/2019 1:05,,,21.31782722,-157.9202576,HONOLULU,HI,HNL,AWP,MOR/HCF @ 1728PST,A332,SEA,PHNL,,,Unknown,,,,,,0,Not Reported,"HONOLULU, HI (HNL)","A332, SEA-PHNL, ON 12 MILE FINAL FOR RWY 8L AT HNL ADVISED THAT THEY HAD A MEDICAL EMERGENCY ON BOARD. NATURE OF EMERGENCY, AGE, SEX OF ILL PASSENGER/CREW UNKNOWN. PILOT REQUESTED MEDICAL PERSONNEL AT THE",GATE. RAMP ADVISED. AIRCRAFT LANDED WITHOUT INCIDENT AT 0117Z. 01/02/2019 0105Z,,,,,,
554976,"GENERAL AVIATION OCCURRENCE | N588AM | DETROIT, MI (YIP) 01-02-2019 0036Z",,GENERAL AVIATION OCCURRENCE,1/2/2019 0:36,,,42.331427,-83.0457538,DETROIT,MI,YIP,AGL,YIP MOR,COL4,YIP,JYO,YIP,,Unknown,,,,,,0,Not Reported,"DETROIT, MI (YIP)","COL4, YIP-JYO, DECLARED AN EMERGENCY AND RETURNING TO YIP, DUE PICKING UP A LOT OF ICING AND UNABLE CLIMB. IFR ACFT BELOW MINIMUM VECTORING ALTITUDE. N588AM REPORTED LOSING HIS AIRSPEED AND ALTITUDE INDI",CATOR IN THE COCKPIT. N588AM LANDED W/O FURTHER INCIDENT AT 0050Z. 01/02/2019 0036Z,,,,,,
554977,"AIR CARRIER OR TAXI OCCURRENCE | JIA5085 | NASHVILLE, TN (BNA) 01-02-2019 0105Z",,AIR CARRIER OR TAXI OCCURRENCE,1/2/2019 1:05,,,36.12447357,-86.67816925,NASHVILLE,TN,BNA,ASO,BNA,CRJ2,BNA,DCA,,,Unknown,,,,,,0,Not Reported,"NASHVILLE, TN (BNA)",", CRJ2, BNA-DCA, ABORTED TAKEOFF RUNWAY 02R DUE TO AN ENGINE INDICATION AND DEPARTED AT 0130Z WITHOUT FURTHER INCIDENT. 01/02/2019 0105Z",,,,,,,
554978,"MEDICAL EMERGENCY - PASSENGER | AAL838 | CHARLOTTE, NC (CLT) 01-02-2019 0210Z",,MEDICAL EMERGENCY - PASSENGER,1/2/2019 2:10,,,35.21374893,-80.94905853,CHARLOTTE,NC,CLT,ASO,CLT,A319,BNA,CLT,,,Unknown,,,,,,0,Not Reported,"CHARLOTTE, NC (CLT)","A319, BNA-CLT, REPORTED A PASSENGER MEDICAL EMERGENCY ON FINAL APPROACH, LANDED RUNWAY 36C AND TAXIED TO THE GATE WITHOUT INCIDENT. 01/02/2019 0210Z",,,,,,,
554992,"LASER EVENT | CPZ6052 | LOS ANGELES, CA (LAX) 01-02-2019 0615Z",,LASER EVENT,1/2/2019 6:15,,,33.94249344,-118.4080505,LOS ANGELES,CA,LAX,AWP,MOR/SCT @ 2232 PST,E75L,,,,,Unknown,,,,,,0,Not Reported,"LOS ANGELES, CA (LAX)",", E75L, PILOT REPORTED A GREEN LASER FROM THE 11 O'CLOCK POSITION WHILE ENE BOUND AT 6,000 FEET 8 N LAX. LAPD AERO UNIT NOTIFIED 2 MILES NORTH OF DOWNTOWN LOS ANGELES. NO INJURIES. 01/02/2019 0615Z",,,,,,,
554913,"AIR CARRIER OR TAXI OCCURRENCE | AAY2128 | ORLANDO, FL (SFB) 01-01-2019 1328Z",,AIR CARRIER OR TAXI OCCURRENCE,1/1/2019 13:28,,,28.5383355,-81.3792365,ORLANDO,FL,SFB,ASO,SFB,A320,SFB,XNA,,,Unknown,,,,,,0,Not Reported,"ORLANDO, FL (SFB)",", A320, SFB-XNA, ABORTED TAKEOFF DUE TO A BRAKE TEMPERATURE INDICATOR MALFUNCTION. AIRCRAFT TAXIED BACK TO THE RAMP. 01/01/2019 1328Z",,,,,,,
554915,"GENERAL AVIATION OCCURRENCE | N637PC | EL PASO, TX (ELP) 01-01-2019 1335Z",,GENERAL AVIATION OCCURRENCE,1/1/2019 13:35,,,31.80732536,-106.3763504,EL PASO,TX,ELP,ASW,ELP,PC12,,,,,Unknown,,,,,,0,Not Reported,"EL PASO, TX (ELP)","PC12, DECLARED AN EMERGENCY AFTER DEPARTURE FOR A FAULTY GEAR INDICATION. PILOT COMPLETED TROUBLESHOOTING AND LANDED RWY 26R WITHOUT FURTHER INCIDENT AT 1352Z. 01/01/2019 1335Z",,,,,,,
554922,"AIR CARRIER OR TAXI OCCURRENCE | EJA550 | WEST PALM BEACH, FL (PBI) 01-01-2019 1600Z",,AIR CARRIER OR TAXI OCCURRENCE,1/1/2019 16:00,,,26.6831665,-80.09558105,WEST PALM BEACH,FL,PBI,ASO,PBI,C68A,,,,,Unknown,,,,,,0,Not Reported,"WEST PALM BEACH, FL (PBI)","C68A, RETURNED AND LANDED AFTER REPORTING AN ISSUE WITH THE FLAPS. 01/01/2019 1600Z",,,,,,,
554929,"GENERAL AVIATION OCCURRENCE | N931CD | PENSACOLA, FL (PNS) 01-01-2019 1710Z",,GENERAL AVIATION OCCURRENCE,1/1/2019 17:10,,,30.47342491,-87.18661499,PENSACOLA,FL,PNS,ASO,PNS,SR22,,,,,Unknown,,,,,,0,Not Reported,"PENSACOLA, FL (PNS)","SR22, ABORTED TAKEOFF DUE TO AN EQUIPMENT ISSUE. 01/01/2019 1710Z",,,,,,,
554931,"MEDICAL EMERGENCY - PASSENGER | FFT1816 | FORT MYERS, FL (RSW) 01-01-2019 1730Z",,MEDICAL EMERGENCY - PASSENGER,1/1/2019 17:30,,,26.640628,-81.8723084,FORT MYERS,FL,RSW,ASO,ZMA,A320,DTW,RSW,,,Unknown,,,,,,0,Not Reported,"FORT MYERS, FL (RSW)",", A320, DTW-RSW, REPORTED A PASSENGER MEDICAL EMERGENCY. AIRCRAFT LANDED WITHOUT INCIDENT. 01/01/2019 1730Z",,,,,,,
554938,"UAS/DRONE INCIDENT | JBU2953 | WEST PALM BEACH, FL 01-01-2019 1812Z",,UAS/DRONE INCIDENT,1/1/2019 18:12,,,26.7153424,-80.0533746,WEST PALM BEACH,FL,,ASO,WOCC,A321,JFK,PBI,,,Unknown,,,,,,0,Not Reported,"WEST PALM BEACH, FL",", A321, JFK-PBI, OBSERVED 3 UAS PASS 1000 FEET BELOW THE AIRCRAFT WHILE 10 MILES WEST-NORTHWEST OF PBI AT 3,000 FEET. THERE WAS NO EVASIVE ACTION TAKEN AND THE PALM BEACH SHERIFF WAS NOTIFIED. 01/01/2019",1812Z,,,,,,
554993,"LASER EVENT | ASA1391 | PALO ALTO, CA 01-02-2019 0630Z",,LASER EVENT,1/2/2019 6:30,,,37.4418834,-122.1430195,PALO ALTO,CA,,AWP,MOR/NCT @ 2305 PST,A320,,,,,Unknown,,,,,,0,Not Reported,"PALO ALTO, CA",", A320, GREEN LASER FROM 10 O'CLOCK WHILE W BOUND OVER SFO120015, NO INJURIES, ACN 01/02/2019 0630Z",,,,,,,
554994,"AIR CARRIER OR TAXI OCCURRENCE | SWA331 | SAN ANTONIO, TX (SAT) 01-02-2019 0640Z",,AIR CARRIER OR TAXI OCCURRENCE,1/2/2019 6:40,,,29.4241219,-98.4936282,SAN ANTONIO,TX,SAT,ASW,SAT MOR,B737,STL,SAT,,150,Unknown,,,,,,0,Not Reported,"SAN ANTONIO, TX (SAT)","B737, STL-SAT, DECLARED AN EMERGENCY FOR ASYMETRICAL FLAPS ISSUES. SWA331 LANDED RWY 04 W/O INCIDENT AND EXITED RWY 04 WITH HOT BRAKES. FIRE/RESCUE ON SDBY. ACFT HELD ON TWY N FOR APPROXIMATELY 30 MIN PE",R COMPANY POLICY. 01/02/2019 0640Z,,,,,,
554995,"GENERAL AVIATION OCCURRENCE | N765MS | BEDFORD, MA (BED) 01-02-2019 1215Z",,GENERAL AVIATION OCCURRENCE,1/2/2019 12:15,,,42.469944,-71.28900146,BEDFORD,MA,BED,ANE,BED,GALX,,,,,Unknown,,,,,,0,Not Reported,"BEDFORD, MA (BED)","GALX, ABORTED TAKEOFF AND LATER DEPARTED AFTER REPORTING AN ENGINE ISSUE. 01/02/2019 1215Z",,,,,,,
555008,"MEDICAL EMERGENCY - PASSENGER | AAY1312 | FORT LAUDERDALE, FL (FLL) 01-02-2019 1500Z",,MEDICAL EMERGENCY - PASSENGER,1/2/2019 15:00,,,26.07166672,-80.14969635,FORT LAUDERDALE,FL,FLL,ASO,FLL,A320,,,,,Unknown,,,,,,0,Not Reported,"FORT LAUDERDALE, FL (FLL)",", A320, LANDED AFTER REPORTING A PASSENGER MEDICAL EMERGENCY. 01/02/2019 1500Z",,,,,,,
555010,"GENERAL AVIATION OCCURRENCE | CONN471 | LEESBURG, FL (LEE) 01-02-2019 1524Z",,GENERAL AVIATION OCCURRENCE,1/2/2019 15:24,,,28.82288933,-81.80841827,LEESBURG,FL,LEE,ASO,LEE,SR22,,,,,Unknown,,,,,,0,Not Reported,"LEESBURG, FL (LEE)",", SR22, LANDED ON RUNWAY 21 AFTER REPORTING AN ENGINE ISSUE. 01/02/2019 1524Z",,,,,,,
555012,"BIRD/WILDLIFE STRIKE | ASA346 | SEATTLE, WA (SEA) 01-02-2019 1550Z",,BIRD/WILDLIFE STRIKE,1/2/2019 15:50,,,47.44989014,-122.3117752,SEATTLE,WA,SEA,ANM,MOR/S46 @ 0818 PST,B739,SEA,SJC,,,Unknown,,,,,,0,Not Reported,"SEATTLE, WA (SEA)","B739, SEA-SJC, REPORTED AN BIRD STRIKE DURING DEPARTURE OFF RUNWAY 16L. OPS 3 SEARCHED THE RUNWAY AND DID FIND EVIDENCE OF A BIRD STRIKE. AIRCRAFT RETURNED TO SEA AND LANDED RUNWAY 16L AT 1613Z, WITHOUT",FURTHER INCIDENT. 01/02/2019 1550Z,,,,,,
555025,"GENERAL AVIATION ACCIDENT/INCIDENT | N772MG | ANNA MARIA, FL 01-02-2019 1545Z",,GENERAL AVIATION ACCIDENT/INCIDENT,1/2/2019 15:45,,,27.5311474,-82.7334334,ANNA MARIA,FL,,ASO,TPA,R44,,,,3,Unknown,,,,2,1,0,Not Reported,"ANNA MARIA, FL","R44, CRASHED ONE MILE OFF SHORE OF BEAN POINT ON ANNA MARIA ISLAND UNDER UNKNOWN CIRCUMSTANCES. POB",, DESTROYED. 01/02/2019 1545Z,,,,,
555027,"GENERAL AVIATION OCCURRENCE | N627TP | FORT LAUDERDALE, FL (FXE) 01-02-2019 1831Z",,GENERAL AVIATION OCCURRENCE,1/2/2019 18:31,,,26.19727898,-80.1707077,FORT LAUDERDALE,FL,FXE,ASO,FXE,DA42,,,,,Unknown,,,,,,0,Not Reported,"FORT LAUDERDALE, FL (FXE)","DA42, ABORTED TAKEOFF AND RETURNED TO THE RAMP AFTER REPORTING A LOW FUEL PRESSURE INDICATION. 01/02/2019 1831Z",,,,,,,
555042,"GENERAL AVIATION ACCIDENT/INCIDENT | N24YD | SACRAMENTO, CA 01-02-2019 1930Z",,GENERAL AVIATION ACCIDENT/INCIDENT,1/2/2019 19:30,,,38.5815719,-121.4943996,SACRAMENTO,CA,,AWP,SAC FIRE DISPATCH/CATHRYN @ 1147 PST,SEAREY,APC,APC,,2,Unknown,,,,,,0,Not Reported,"SACRAMENTO, CA","SEAREY, APC-APC, CRASHED UNDER UNKNOWN CIRCUMSTANCES INTO THE AMERICAN RIVER NEAR 570 BERCUT DR, SACRAMENTO, CA. AIRCRAFT IS PARTIALLY SUBMERGED, PILOT AND PASSENGER TRANSPORTED TO HOSPITAL. POB",, EXTENT UNKNOWN. 01/02/2019 1930Z,,,,,
555044,"MEDICAL EMERGENCY - PASSENGER | UAL963 | NEWARK, NJ (EWR) 01-02-2019 1900Z",,MEDICAL EMERGENCY - PASSENGER,1/2/2019 19:00,,,40.69247818,-74.16868591,NEWARK,NJ,EWR,AEA,N90,B763,EDDT,EWR,,,Unknown,,,,,,0,Not Reported,"NEWARK, NJ (EWR)","B763, EDDT-EWR, REPORTED A PASSENGER MEDICAL EMERGENCY. AIRCRAFT LANDED WITHOUT INCIDENT. 01/02/2019 1900Z",,,,,,,
555061,"MEDICAL EMERGENCY - PASSENGER | TAM8160 | ORLANDO, FL (MCO) 01-03-2019 0007Z",,MEDICAL EMERGENCY - PASSENGER,1/3/2019 0:07,,,28.42938805,-81.30899811,ORLANDO,FL,MCO,ASO,F11,B767,,,,,Unknown,,,,,,0,Not Reported,"ORLANDO, FL (MCO)",", B767, LANDED SAFELY RUNWAY 17R WITH A PASSENGER MEDICAL EMERGENCY AND TAXIED TO THE GATE WITHOUT INCIDENT. 01/03/2019 0007Z",,,,,,,
