c5,remark,,,,,,,,
20190103000099A,"ON 1/3/19, N6872P (PA24) HAD DEPARTED THE TOWANDA AIRPORT (N27) ENROUTE TO THE WYOMING VALLEY AIRPORT (KWBW) FOR THE PURPOSES OF FLIGHT INSTRUCTION. THE AIRCRAFT ENTERED THE PATTERN FOR KWBW (RUNWAY 7) AND EXTENDED THE DOWNWIND FOR OTHER TRAFFIC IN THE AREA. AFTER THE LANDING GEAR HANDLE WAS SELECTED TO EXTEND THE GEAR IT WAS NOTED THAT THE LANDING GEAR DID NOT EXTEND. ADDITIONALLY, AFTER THE GEAR HANDLE WAS PLACED IN THE LANDING POSITION, THE ENGINE HAD FAILED (BASED ON A STATEMENT PROVIDED BY THE FLIGHT INSTRUCTOR DATED 1/31/19). AS A RESULT OF THE EXTENDED DOWNWIND, N6872P WAS NOT IN A POSITION TO SAFLEY LAND AT WYOMING VALLEY. THIS RESULTED IN THE AIRCRAFT LANDING SHORT OF RUNWAY 7 IN A SOCCER FIELD. NO INJURIES WERE REPORTED, HOWEVER, THE AIRRAFT SUSTAINED SUBSTANTIAL DAMAGE.",,,,,,,,
20190103000109A,HAVE WRITTEN STATEMENT ON POLICE REPORT STATING THAT THE PILOT OVER CORRECTED A DRIFT ON TOUCHDOWN WHICH CAUSED A GROUND LOOP AND LEFT HAND MAIN GEAR COLLAPSE.,,,,,,,,
20190103003669A,"FROM THE PILOT?S STATEMENT, ON JANUARY 3, AT APPROXIMATELY 13:10, N808JD TOOK OFF FROM PRC RUNWAY 21 RIGHT TO PERFORM ?TOUCH AND GOES? VIA RIGHT TRAFFIC. WEATHER CONDITIONS WERE FAVORABLE. TEMPERATURE WAS COOL AND WIND LIGHT AND VARIABLE. ON FINAL APPROACH, THE PILOT NOTICED THAT THE WIND HAD CHANGED TO A TAILWIND OF APPROXIMATELY 3 TO 4 KNOTS. THE PILOT WHO HAD 37 HOURS OF TAIL DRAGGER TIME BELIEVED THAT THE CONDITION WAS NOT FAVORABLE, BUT THAT IT WAS WITHIN HIS CAPABILITY BECAUSE HE HAD BEEN PRACTICING LANDING WITH A TAIL WINDS RECENTLY.  THE AIRCRAFT LANDED STRAIGHT IN A THREE-POINT ATTITUDE.  AFTER TOUCHDOWN, THE AIRCRAFT VEERED TO THE RIGHT. THE PILOT ATTEMPTED TO CORRECT THE TURN WITH OPPOSITE RUDDER ONTO BUT THE AIRCRAFT CONTINUED SIDEWAYS AND OFF THE RUNWAY GROUND THAT WAS SOFT FROM RECENT RAINS. THE LEFT TIRE GRABBED; THE RIGHT TIRE BEGAN TO LIFT; THE WING CONTACTED THE GROUND AND THE AIRCRAFT CONTINUE TO ROTATE OVER UNTIL COMING TO REST INVERTED. THE ONLY SIGNIFICANT DAMAGE WAS THAT THE LEFT FORWARD WING STRUT BUCKLED UNDER NEGATIVE LOAD.",,,,,,,,
20190103007259I,"A CESSNA 172 AIRCRAFT OPERATED BY EMBRY RIDDLE, IN DAYTONA WAS ON AN INSTRUCTION FLIGHT AND IN THE PATTERN TO LAND ON RUNWAY 25L. ANOTHER AIRCRAFT IN THE AREA ALSO WAS ADVISED OF BIRDS IN THE AREA THEREFORE THE CREW PERFORMED A GO AROUND AND ON FINAL SPOTTED A BIRD CLIMBING TOWARDS THE NOSE OF THE AIRPLANE. THE CREW MANEUVERED RIGHT AND PRIOR TO ANY ADDITIONAL ACTION THE BIRD STRUCK THE RIGHT WING JUST OUTBOARD OF THE WING LIFT STRUT ATTACH POINT OF THE AIRCRAFT CAUSING MINOR DAMAGE. MAINTENANCE REMOVED AND REPLACED STATION 100 TO 85.875-RIB AND SKIN ASSEMBLY. ALL WORK WAS PERFORMED IN ACCORDANCE WITH M.M. 33-00 AND SRM 57-10-00. NO FURTHER DAMAGE WAS IDENTIFIED AND THE AIRCRAFT WAS RETURNED TO SERVICE.",,,,,,,,
20190104003679I,ENGINE LOST POWER-QUIT ABOUT 400 FT. AGL. PILOT UNABLE TO RESTART. AIRCRAFT LANDED IN A PLOWED FIELD AND BROKE NOSE GEAR OFF.,,,,,,,,
20190104007269I,DURING LANDING ON RUNWAY 23 IN APF PILOT BOUNCED UPON TOUCHDOWN AND PROPELLER STRUCK RUNWAY.  PILOT CLEARED RUNWAY ONTO TAXIWAY B AND SHUTDOWN ENGINE.  NOTICED PROPELLER TIPS WERE DAMAGED.  PILOT NOTIFIED TOWER AND AIRCRAFT WAS TOWED TO MAIN GA RAMP AT APF.,,,,,,,,
20190104007279I,"ON JANUARY 4, 2019, AIRCRAFT N300VP LANDED AT ADDISON AIRPORT (ADS) COMPLETING A ONE HOUR IFR FLIGHT FROM LLOYD STEARMAN AIRPORT (1K1).  LANDED WITHOUT INCIDENT AND WAS ASKED TO DEPART RUNWAY WITHOUT DELAY AND CONTACT GROUND.  THE AIRCRAFT TURNED TO EXIT THE RUNWAY AND RAN OFF THE PAVEMENT STRIKING TWO TAXI LIGHTS IN THE GRASS AREA.  THE AIRCRAFT PULLED THROUGH THE MUD AND PROCEEDED TO THE MAINTENANCE HANGAR RAMP LEAVING A TRAIL OF MUD ON THE TAXIWAY.  IT WAS ON THE RAMP THAT THE PILOT DISCOVERED THE DAMAGE TO THE PROPELLERS.  THE PROPELLERS WERE REPLACED AND THE AIRCRAFT WAS FLOWN HOME 3 DAYS LATER.",,,,,,,,
20190105003689A,CRASHED AIRCRAFT DURING GO AROUND ATTEMPT AFTER BOUNCED LANDING ON RUNWAY 5.,,,,,,,,
20190105007289I,AIRCRAFT INBOUND KIBM TO KBJC ON IFR FLIGHT PLAN,,,,,,,,
AIRCRAFT LANDED GEAR UP ON RUNWAY 30R,,,,,,,,,
ONE PERSON ON BOARD,,,,,,,,,
NO INJURIES,,,,,,,,,
20190105007299I,"ON JANUARY 5, 2019, AT 1300 (APPROXIMATELY), A JEFF LEPPENCOTT CCX-2000 AIRCRAFT BEARING REGISTRATION NUMBER N64FX, REGISTERED TO A PRIVATE OWNER, WAS PUSHED OFF THE TAXIWAY DUE TO A GUST OF WIND, AND RAN OVER A ?HOLD SHORT? SIGN AT THE MIDLAND, TEXAS AIRPORT (MAF).  THE AIRCRAFT WAS BEING OPERATED ON A PERSONAL FLIGHT.  VISUAL METEOROLOGICAL CONDITIONS PREVAILED AT THE TIME, AND NO FLIGHT PLAN WAS FILED.  THE AIRCRAFT SUSTAINED NO DAMAGE, AND THE PILOT SUSTAINED NO INJURIES.  THE FLIGHT ORIGINATED FROM MIDLAND, TEXAS ON JANUARY 5, 2019 AT 1230 (APPROXIMATELY).",,,,,,,,
20190105008179I,"UPON DEPARTURE FROM THE ROANOKE MUNICIPAL AIRPORT, THE AIRCRAFT STRUCK A BUZZARD CAUSING DAMAGE TO THE LEFT WING",,,,,,,,
20190106000119I,"THE PILOT REPORTED ON FINAL APPROACH THERE WAS A CROSSWIND AT AT APPROXIMATELY 15 MPH WITH MODERATE TURBULENCE.  HE INCREASE APPROACH SPEED TO ABOUT 7 MPH ABOVE NORMAL WITH 2 NOTCHES OF FLAPS.  HE PLANNED HIS LANDING AT THE BEGINNING OF THE ASPHALT OF THE RUNWAY, WHICH HAS A DISPLACED THRESHOLD OF 315 FT.  THE PILOT THEN REPORTED THAT THE TURBULENCE INCREASED AND WIND WAS GUSTING JUST BEFORE TOUCHDOWN. HE HAD A SLIGHT LEFT BANK IN TO CORRECT FOR WIND.  HE THEN REPORTED THAT JUST BEFORE TOUCHDOWN THE WIND OR TURBULENCE PUSHED THE PLANE DOWN ABOUT 5 FEET SHORT OF THE ASPHALT (APPROXIMATELY 320 FT. SHORT OF THE APPROVED LANDING PORTION OF THE RUNWAY).  THE AIRCRAFT REMAINED ON THE RUNWAY BRIEFLY BEFORE DEPARTING THE THE LEFT SIDE, STRIKING A RUNWAY LIGHT AND THE LEFT MAIN GEAR SEPARATING FROM THE AIRCRAFT.  THE AIRCRAFT CAME TO A STOP IN AN ADJOINING CORN FIELD.  MINIMAL DAMAGE TO THE LANDING GEAR ITSELF AND THE WING WERE FOUND TO NOT BE SUBSTANTIAL.",,,,,,,,
,,,,,,,,,
METAR KMTN 062045Z 31012G16KT 10SM FEW050 FEW120 12/M02 A3012,,,,,,,,,
METAR KMTN 062154Z 29008KT 10SM FEW200 08/M02 A3016,,,,,,,,,
20190106000129A,"PILOT STATED SHE WAS HIGH ON APPROACH, LOWERED NOSE AND DIDN'T REALIZE SPEED AT TOUCHDOWN.  FLOATED USED WRONG CORRECTIONS TO MAINTAIN DIRECTIONAL CONTROL.  DEPARTED RUNWAY AND HIT DITCH.",,,,,,,,
20190106003699A,AIRCRAFT LEFT AIRPORT 48D.  AFTER NORMAL TAKEOFF PILOT RAISED GEAR HANDLE AND NOTICED HYDRAULIC PUMP RUNNING LONGER THAN NORMAL.  PILOT PULLED THE GEAR BREAKER AND AND NOTED THE MAIN LANDING GEAR WAS NOT FULLY RETRACTED. THE PILOT CONTINUED FLIGHT TO FNT WITH THE GEAR PARTIALLY EXTENDED AND DECLARED AN EMERGENCY PRIOR TO ARRIVAL.  THE PILOT ATTEMPTED TO EXTEND THE LANDING GEAR USING NORMAL AND EMERGENCY PROCEDURES WITH NO SUCCESS.  THE LANDING GEAR MOTOR OPERATED AS INDICATED BY THE SOUND AND LIGHT ON INST PANEL BUT NO GEAR MOVEMENT WAS NOTED.  MULTIPLE ATTEMPTS TO EXTEND GEAR FAILED AND PILOT FAILED AND PILOT MADE EMERGENCY LANDING WITH ONLTY NOSE GEAR DOWN AND LOCKED.  AIRCRAFT SUSTAINED SUBSTANTIAL DAMAGE.  INSPECTION REVEALED NOSE LANDING GEAR DOOR ACTUATOR HYDRAULIC LINE LEAKING.,,,,,,,,
20190106007319I,"THE PILOT/OPERATOR OF A BRIM/MACHADO VELOCITY WAS PERFORMING TOUCH AND GO MANEUVERS AT THE MELBOURNE AIRPORT WHEN DURING LANDING ROLLOUT TO A FULL STOP ON 27R; THE NOSE GEAR COLLAPSED STRIKING THE NOSE OF THE AIRCRAFT ON THE RUNWAY. THE AIRCRAFT NEVER LEFT THE RUNWAY AND THE PILOT NEVER LOST CONTROL. THE PILOT STATED THAT HE PREVIOUSLY PERFORMED THREE ADDITIONAL TOUCH AND GO MANEUVERS PRIOR TO THE INCIDENT. UPON FURTHER INSPECTION THEY IDENTIFIED, THE NOSE GEAR ARM HAD BROKEN CAUSING THE COLLAPSE. THE KIT MANUFACTURER VELOCITY IN SEBASTIAN PERFORMED A COURTESY INSPECTION OF THE AIRCRAFT AND DETERMINED THE DAMAGE WAS SUPERFICIAL/COSMETIC TO THE UNDERSIDE OF THE NOSE AND NO ADDITIONAL DAMAGE TO THE REST OF THE AIRCRAFT OR MAJOR COMPONENTS SUCH AS THE ENGINE/PROPELLERS GIVEN ITS DESIGN. A FERRY PERMIT WILL NOT BE REQUIRED AND THE MANUFACTURER TRAVELED TO KMLB TO REPAIR THE MINOR COMPOSITE DAMAGE. FURTHER EVALUATION OF THE GEAR ARM DEEMED PREVIOUS ISSUES THEREFORE, THE MANUFACTURER INCORPORATED A DESIGN CHANGE HOWEVER, THIS AIRCRAFT WAS NOT EQUIPPED WITH THE NEW IMPROVED PART AND THERE WAS NO REQUIREMENT FOR THIS TO BE REMOVED AND REPLACED AS, THE AIRCRAFT IS EXPERIMENTAL. THE AIRCRAFT HAS SINCE THEN BEEN REPAIRED AND IN A CONDITION FOR SAFE FLIGHT.",,,,,,,,
20190107000139A,"SUBJECT AIRCRAFT WAS FLYING OVER LAKE CHICKAMAUGA AT AN ALTITUDE OF APPROXIMATELY 150 FT. DESCENDED BELOW 100 FT. STARTED A CLIMBING LEFT HAND TURN INCREASING DEGREE ANGLE ON THE TURN, THE AIRCRAFT STALLED ENTERED A LEFT TURN SPIN COMPLETED ONE 360 DEGREE REVOLUTION OF A SPIN BEFORE IMPACTING THE WATER.",,,,,,,,
20190107000149A,"ON JANUARY 7, 2019 AT APPROXIMATELY 1050 HOURS (PST) N100JB, A BEECH A36 DEPARTED THE COLUSA COUNTY AIRPORT (O08).  THE AIRCRAFT WAS OBSERVED ON RADAR CLIMBING TO AN ALTITUDE OF 825 FT THEN SHORTLY THEREAFTER ENTERED A STEEP DECENT AND DISAPPEARED FROM RADAR COVERAGE AT APPROXIMATELY 25 FEET. ATC NOTIFIED PERSONNEL AT COLUSA AIRPORT WHO INITIATED A SEARCH. THE AIRCRAFT WAS LOCATED IN A POND APPROXIMATELY 2 1/2 MILES SOUTHWEST OF THE AIRPORT. BOTH OCCUPANTS WERE PRONOUNCED DECEASED AT THE SCENE BY LOCAL LAW ENFORCEMENT.",,,,,,,,
,,,,,,,,,
THIS ACCIDENT CONTINUES TO BE INVESTIGATED BY THE NTSB.,,,,,,,,,
,,,,,,,,,
THIS REPORT MAY BE REVISED WITH ADDITIONAL EVIDENCE.,,,,,,,,,
20190108000159A,"ON JANUARY 8, 2019 AT 1000 CDT, A ROBINSON R44  BEARING REGISTRATION NUMBER N484AB, REGISTERED TO COEJO AVIATION LLC.  IMPACTED TERRAIN IMMEDIATELY FOLLOWING TAKEOFF AT GARNER FIELD AIRPORT UVALDE, TX. THE HELICOPTER WAS BEING OPERATED ON A PERSONAL TRAINING FLIGHT. VISUAL METEROLOGICAL CONDITIONS PREVAILED AT THE TIME, AND NO FLIGHT PLAN WAS FILED.  THE HELICOPTER WAS SUBSTANTIALLY DAMAGED, AND THE COMMERCIAL PILOT AND PASSENGER WERE UNINJURED.",,,,,,,,
20190108007329I,DURING TOUCHDOWN ROLLOUT THE RIGHT ,,,,,,,,
"MAIN LANDING GEAR COLLAPSED.  THE ""A"" FRAME PORTION OF THE RIGHT LANDING GEAR MECHANISM BROKE WHICH ALLOWED THE RIGHT WING TO CONTACT THE RUNWAY SURFACE.  ",,,,,,,,,
,,,,,,,,,
DUE TO THE GOVERNMENT SHUTDOWN AN IMMEDIATE INSPECTION OF THE AIRCRAFT WAS NOT ACCOMPLISHED.  BY THE TIME FAA PERSONNEL INSPECTED THE AIRCRAFT REPAIRS HAD BEEN ACCOMPLISHED AND THE FAILED PART HAD BEEN REMOVED AND REPLACED. ,,,,,,,,,
 ,,,,,,,,,
INSPECTION OF THE FAILED A FRAME LANDING GEAR PART BY FAA PERSONNEL FOUND THAT ALL PAINT SURROUNDING THE BREAK AREA HAD BEEN REMOVED BY A BLASTING MEDIA AFTER THE ACCIDENT. ,,,,,,,,,
 ,,,,,,,,,
REMOVAL OF THE PAINT IN THIS AREA COMPROMISED EVIDENCE NOT ALLOWING FOR DETERMINATION OF MATERIAL FAILURE OR IMPROPER AIRCRAFT MAINTENANCE.,,,,,,,,,
20190108007339I,"N929JH EXPERIENCED L/H WIND SCREEN FAILURE IN THE FORM OF A CRACK, APPROXIMATELY 18 INCHES IN LENGTH DURING FLIGHT. WINDSHIELD WAS REPLACED. CAUSE OF CRACK WAS UNDETERMINED.",,,,,,,,
20190108007349I,"AT (PIE) A/C N659A, PA28, LANDED ON RUNWAY 4 AND VEERED INTO GRASS. A/C TAXIED TO RAMP POB: 1, NO INJURIES, NO DAMAGE TO AIRCRAFT. LH MLG TIRE HAD BALD SPOT AND WAS REMOVED AND REPLACED AFTER INCIDENT.",,,,,,,,
20190108007359I,"N639FT, PA28, LANDED LONG ON RUNWAY 5, WENT THROUGH GRASS AND ENTERED RUNWAY 9R. AIRCRAFT TOWED TO THE RAMP. POB: 1, INJURIES: NONE, DAMAGE: NONE.",,,,,,,,
20190109007369I,"ACCORDING TO THE PILOT, ""I INITIATED THE TAKEOFF PROCEDURES THAT HAD BEEN DRILLED INTO MY MIND OVER AND OVER AGIAN.  COUNTING DOWN, OUT LOUD, EACH STEP FROM 1 THROUGH 4 OF THE GYROPLANE TAKEOFF PROCEDURES.  APPROXIMATELY 20 TO 30 FEET INTO MY TAKEOFF ROLL, THE NOSE OF THE AIRCRAFT ABRUPTLY CAME UP.  I IMMEDIATELY PULLED THE POWER BACK AND LOWERED THE NOSE.""  AT THIS POINT IN TIME, THE NOSE CONTACTED THE GROUND AND THE AIRCRAFT ROLLED OVER ON ITS RIGHT SIDE OFF THE RUNWAY.  ONE PERSON WAS ON BOARD THE AIRCRAFT WITH NO INJURIES.",,,,,,,,
20190109007379I,"ON JANUARY 9, 2019, AT 1907 CDT, A P28A CHEROKEE AIRCRAFT BEARING REGISTRATION NUMBER N2759R, REGISTERED TO PRIVATE, WAS CONDUCTING A PERSONAL FLIGHT FROM AUSTIN TO ABILENE, TEXAS.  VISUAL METEOROLOGICAL CONDITIONS PREVAILED AT THE TIME, AND NO FLIGHT PLAN WAS FILED.  THE AIRCRAFT LANDED IN A FIELD APPROXIMATELY ONE HALF MILE SOUTHEAST OF ABILENE REGIONAL AIRPORT. THERE WERE NO INJURIES REPORTED.  THE FLIGHT ORIGINATED FROM AUSTIN, TEXAS ON JANUARY 9, 2019 AT 0730 CDT.",,,,,,,,
20190110000169A,ON APPROACH TO CALHOUN COUNTY AIRPORT PILOT STATED HE WAS IN LEVEL FLIGHT ON BASE AT 2800 FEET WITH 20 DEGREES OF FLAPS. THE ENGINE SUDDENLY QUIT. PILOT SWITCHED TANKS AND ATTEMPTED A RESTART TWICE BEFORE TURNING ON THE FUEL PUMP. ENGINE STILL DID NOT START AND PILOT DECIDED TO LAND IN A FIELD SHORT OF THE RUNWAY. THE NOSE GEAR SANK INTO THE SOFT SOIL CAUSING THE AIRCRAFT TO NOSE OVER. AIRCRAFT CAME TO REST INVERTED WITH SUBSTANTIAL DAMAGE TO THE AIRCRAFT. BOTH PASSENGER AND SINGLE CREW MEMBER SUFFERED MINOR INJURIES.,,,,,,,,
20190110007399I,"ON 10 JAN 2019 AT OR ABOUT  1800L N7084P A PIPER PA-24-250 SERIAL NUMBER 24-2237 LANDED AT THE CONWAY AR AIRPORT (CXW) WITH WITHOUT THE LANDING GEAR EXTENDED AND SLID APPROXIMATELY 300 FEET DOWN RUNWAY 22. THERE WERE NO INJURIES ONBOARD. THE PILOT REPORTED WEATHER WAS CLEAR WITH NW WINDS AT 6KTS AT NIGHT. PILOTS REPORT STATES, NO OTHER AIRCRAFT OR PROPERTY WAS DAMAGED. AIRPORT WAS UNCONTROLLED AND FBO WAS CLOSED. THE MECHANICS ARRIVED, JACKED THE AIRCRAFT, EXTENDED LANDING GEAR, AND TOWED THE AIRCRAFT TO A HANGAR.",,,,,,,,
20190111000179A,"^PRIVACY DATA OMITTED^ WAS PILOT IN COMMAND OF N88HC, A BELL 206 THAT WAS EQUIPPED AND PERFORMING AERIAL AGRICULTURAL SPRAYING (PART 137) OPERATIONS.  HE HAD JUST COMPLETED A SPRAYING OPERATION AT ONE FIELD AND HAD MOVED TO THE NEXT SCHEDULED FIELD.  IT WAS KNOWN THAT THE FIELD HAD POWERLINES THAT CROSSED THE FIELD TOWARD THE SOUTH END OF THE FIELD.  THE TIME WAS APPROXIMATELY 8:30 TO 9:00 PM SO THE SPRAYING OPERATION WAS BEING CONDUCTED AT NIGHT.  THE PILOT DECENDED INTO THE SOUTHEAST CORNER OF THE FIELD TO BEGIN THE RECON.  AS THE AIRCRAFT MOVED NORTHWARD ALONG THE EAST SIDE OF THE FIELD, THE AIRCRAFT STRUCK THE WIRES.  THE PILOT STATED THAT HE HAD JUST SEEN THE WIRES AND HAD LOWERED THE COLLECTIVE TO BEGIN A DESCENT.  THE PILOT STATED THAT THE AIRCRAFT PITCHED UPWARD AND THEN IMPACTED THE GROUND, DESTROYING THE AIRCRAFT.  THE PILOT WAS CONSCIOUS AFTER THE CRASH WHERE HE CALLED HIS SUPPORT CREW ON HIS PHONE AND TOLD THEM THAT HE HAD A BROKEN LEG AND RIBS.  THE SUPPORT CREW CALLED EMERGENCY SERVICES AND THE PILOT WAS TRANSPORTED TO THE HOSPITAL.",,,,,,,,
