c5,c1,c2,c3,c4,c6,c7,c8,c9,c10,c75,c132,c134,c136,c138,c139,c140,c141,c144,c145,c147,c149,c151,c152,c153,c155,c157,c160,c162,c203,c204,c214,c233,c234,c790,c22,c23,c24,c25,c26,c27,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c102,c104,c106,c108,c110,c112,c113,c114,c115,c117,c118,c143,c240,c241,c242,c243,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c76,c250,c205,c206,c207,c208,c210,c41,c43,c45,c47,c49,c50,c52,c53,c54,c55,c56,c57,c58,c59,c119,c120,c121,c122,c126,c127,c128,c129,c130,c78,c80,c82,c84,c86,c88,c90,c92,c94,c96,c98,c100,c111,c123,c124,c125,c184,c192,c244,c40,c44,c46,c48,c51,c77,c79,c81,c83,c85,c87,c89,c91,c93,c95,c97,c99,c101,c103,c105,c107,c109,c131,c133,c135,c137,c146,c148,c150,c154,c156,c158,c161,c163,c183,c191,c229,c230,end_of_record,
20191027023259I,I,91,   , ,2019,10,27,20191027,1202,9, , , , , , ,   ,1H72,1,H,7,2,3O  , , ,TR,  ,  ,224309,2325, , , , ,337TX,CESSNA,T337C       ,      ,        ,  ,STRD,2390,* ,  ,CONT M,TSIO-360 SER ,      ,        ,  ,     ,SO,SO11,GA,CALHOUN        ,TOM B DAVID FLD               ,,CZL ,,,,,,,,,,,,,,,,CZL ,,,,,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20200922,,,,20200922,F3,N,,,,,,3,,125,6500,,,,"ON OCTOBER 27, 2019 THE PILOT OF N337TX WAS OPERATING THE AIRCRAFT TO GAIN EXPERIENCE TO PROVIDE INSTRUCTION AT A L",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LA,N, ,   , , , , , , ,COMM PILOT FLIGHT IN,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Approach   ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19520907,, ,
20190921023449I,I,91,   , ,2019,9,21,20190921,1005,9, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,TR,  ,  ,224541,2344, , , , ,9770B,CESSNA,172RG       ,      ,        ,  ,STRD,4720,* ,  ,      ,             ,      ,        ,  ,     ,SO,SO11,GA,ATLANTA        ,,03L ,PDK ,,,33 52N,08418W,,,,,,,,,,DRY,,PDK ,,,,,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20201026,,,20200916,20201026,1,N,,,,,,1451,,6,1547,,,,"GEAR UP LANDING ON RUNWAY 3 LEFT. NO INJURIES, PROPELLER STRIKE.                                                   ",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LA,M, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Approach   ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19510805,, ,
20191106023329I,I,121,   , ,2019,11,6,20191106,2106,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,224457,2332, , , , ,117HQ,EMBRAE,ERJ 170-200 ,      ,        ,  ,STRD,31263,* ,  ,GE    ,CF34-8E5     ,      ,        ,  ,     ,WA,WA45,GA,ATLANTA        ,HARTSFIELD - JACKSON ATLANTA I,,ATL ,,,,,,,,,,,,,,,,ATL ,,,,,10,6,0,0,2,0,0,2,0,0,0,0,0,0,0,0,20201014,,,,20201014,9,N,,,,,,3135,,162,,,,,"A REPUBLIC AIRWAYS EMBRAER ERJ-175, REGISTRATION N117HQ PERFORMING AA-4439 FROM ATLANTA,GA TO NEW YORK LA GUARDIA,N",REPUBLIC AIRWAYS              ,  ,R61A,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TC,N, ,   , , , , , , ,AIRLINE TRANSPORT   ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Takeoff: Climb Out  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19870509,, ,
20191223023299A,A,91,   , ,2019,12,23,20191223,1504,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,224393,2329, , , , ,227L ,TERRAN,ZENITH CH 75,      ,        ,  ,MULT,1,* ,  ,      ,             ,      ,        ,  ,     ,GL,GL05,OH,XENIA          ,,25,I19 ,,,,,,,,,,,,,,DRY,,I19 ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20200929,,,20200731,20200929,1,N,,,,,,5,,1,340,,,,THIS WAS THE FIRST FLIGHT FOR NEW AMATEUR BUILT EXPERIMENTAL AIRCRAFT. PILOT TOOK OFF FROM I19 AND FLEW IN THE LOCA,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LT,S, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Touchdown  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19441125,, ,
20191016023319I,I,91,   , ,2019,10,16,20191016,1214,9, , , , , , ,   ,1L71,1,L,7,1,3O  , , ,TR,  ,  ,224405,2331, , , , ,5825K,BEECH ,S35         ,      ,        ,  ,STRD,8700,* ,  ,CONT M,IO 520 SERIES,      ,        ,  ,     ,SO,SO19,FL,MIAMI          ,MIAMI EXECUTIVE AIRPORT       ,,KTMB,,,,,,,,,,,,,,,,KTMB,,,,,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20201001,,,20200922,20201001,1,N,,,,,,750,,12,5500,,,,RECEIVED A CALL FROM THE FAA ROC AT APPROXIMATELY 1230 PM ON 16OCT2019 IN REFERENCED TO A GEAR UP LANDING ON RUNWAY,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LT,M, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Touchdown  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19601201,19640802, ,
20190727023309I,I,91,   , ,2019,7,27,20190727,1345,9, , , , , , ,   ,    , , , ,,    , , ,CV,  ,  ,224402,2330, , , , ,20KP ,SOCATA,TB-20 TRINID,      ,        ,  ,STRD,3906,* ,  ,LYCOMI,IO-540 SER   ,      ,        ,  ,     ,SO,SO11,GA,ATHENS         ,,,AHN ,,,33 56N,83 19W,,,,,,,,,,,,AHN ,,,,,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,20201001,,,20200824,20201001,F9,N,,,,,,28,,78,14802,,,,"ON JULY 27, 2019, AT APPROXIMATELY 1:45 P.M. EASTERN DAYLIGHT TIME, A 1986 SOCATA, MODEL TB-20 TRINIDAD WITH REGIST",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LT,M, ,   , , , , , , ,A/LINE TRANSPORT PLT,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Touchdown  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,19691230,, ,
20191010023409I,I,91,   , ,2019,10,10,20191010,1200,9, , , , , , ,   ,    , , , ,,    , , ,CV,  ,  ,224524,2340, , , , ,708AM,MONRO ,SR3500 MOOSE,      ,        ,  ,EXPT,45,* ,  ,AEROMO,M-14PFXDK    ,      ,        ,  ,     ,EA,EA13,PA,WELLSBORO      ,WELLSBORO JOHNSTON            ,,N38 ,,,41 43N,77 23W,,,,,,,,,,,,N38 ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20201020,,,20200428,20201020,F9,N,,,,,,45,,147,16675,,,,"ON 10-10-19 AT APPROX. 1200 LOCAL, N708AM, AN EXPERIMENTAL AMATEUR BUILT AIRCRAFT, EXPERIENCED A LOSS OF CONTROL DU",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LR,M, ,   , , , , , , ,A/LINE TRANSPORT PLT,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Rollout    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,19590225,, ,
20191028023399I,I,91,   , ,2019,10,28,20191028,1655,9, , , , , , ,   ,    , , , ,,    , , ,CV,  ,  ,224523,2339, , , , ,4347C,HASSER,LOEHLE SPORT,      ,        ,  ,EXPT,9,* ,  ,ROTAX ,503 DCDI     ,479563,        ,  ,     ,GL,GL05,OH,WAYNESVILLE    ,,,40I ,,,,,,,,,,,,,,,,40I ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20201020,,,20200918,20201020,XX,Y,,,,,,1,,3,116,,,,"ON MONDAY, OCTOBER 28, 2019, AT APPROXIMATELY 1655 EDT, AN EXPERIMENTAL LOEHLE SPORT PARASOL AIRCRAFT, REGISTRATION",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LT,M, ,   , , , , , , ,STUDENT             ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Touchdown  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,19670523,, ,
20191219023339A,A,91,   , ,2019,12,19,20191219,1540,9, , , , , , ,   ,    , , , ,,    , , ,SD,  ,  ,224517,2333, , , , ,695AP,ROBINS,R22 BETA    ,      ,        ,  ,STRD,,* ,  ,      ,             ,      ,        ,  ,     ,SW,SW17,TX,BEEVILLE       ,,,KBEA,,,28 22N,97 47W,,,,,,,,,,,,KBEA,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20201020,,,20200527,20201020,XX,Y,,,,,,29,,29,29,,,,N695AP A ROBINSON R22 EXPERIENCED A DYNAMIC ROLL OVER AND SUFFERED SUBSTANTAL DAMAGE DURING TAKE OFF. THE AIRCRAFT ,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TR,S, ,   , , , , , , ,STUDENT             ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Takeoff: Rotation   ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Skids                         ,                    ,                    ,                    ,                    ,19690119,, ,
20191106023389A,A,91,   , ,2019,11,6,20191106,1500,9, , , , , , ,   ,    , , , ,,    , , ,OT,  ,  ,224522,2338, , , , ,16TD ,SCHLEI,ASW-15B     ,      ,        ,  ,MULT,,* ,  ,NONE  ,NONE         ,      ,        ,  ,     ,GL,GL05,OH,WAYNESVILLE    ,,,20H9,,,,,,,,,,,,,,,,20H9,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20201020,,,20200918,20201020,1,N,,,,,,10,,13,75,,,,"ON WEDNESDAY, NOVEMBER 06, 2019, AT APPROXIMATELY 1500 EDT, AN EXPERIMENTAL SCHLEICHER GLIDER, REGISTRATION N-NUMBE",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,EX,S, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Descent             ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,"Other, Specify                ",                    ,                    ,                    ,                    ,19490217,, ,
20191107023379I,I,91,   , ,2019,11,7,20191107,1545,9, , , , , , ,   ,    , , , ,,    , , ,CV,  ,  ,224521,2337, , , , ,48MR ,PIPER ,PA-12S      ,      ,        ,  ,STRD,2884,* ,  ,LYCOMI,0-320-A2B    ,      ,        ,  ,     ,NM,NM05,MT,KALISPELL      ,GLACIER PARK INTERNATIONAL    ,20,KGPI,,,48 18N,11415W,,,,,,,,,,DRY,,KGPI,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20201020,,,20200902,20201020,1,N,,,,,,11,,15,282,,,,"PIC DOING TOUCH AND GO'S ON RWY 20 AT GPI. PIC POWERED UP TO TAKE OFF, INADVERTENTLY APPLIED LEFT BRAKE. AIRCRAFT Y",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TD,M, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Takeoff: Departure R,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,19630204,, ,
